Company,Sector,gen_index,educ_index,exp_index,ten_index,age_index,z_total_index,Quartiles,sa_finance1_cocode,sa_finance1_year,sa_ann_rep_months,sa_fs_format,sa_pct_shares_hld_govt,sa_bd_tot_risk_wt_ast_and_contingencies,sa_bsl_cap_adeq_ratio,sa_bsl_t1_cap_adeq_ratio,sa_bsl_tot_elg_cap,sa_bsl_tier1_elg_cap,sa_bd_bsl3_cet1_cap_ratio,sa_bd_bsl3_cap_adeq_ratio,sa_bd_bsl3_t1_cap_adeq_ratio,sa_bd_bsl3_t2_cap_adeq_ratio,sa_bd_bsl3_cap_adeq_amt,sa_bd_cap_adeq_ratio_series,sa_bd_int_inc_pct_working_funds,sa_bd_non_int_inc_pct_working_funds,sa_bd_op_profit_pct_working_funds,sa_gnpa_advance,sa_bd_nnpa_pct_net_adv,sa_bd_return_on_ast,sa_bd_profit_per_employee,sa_bd_gross_npa_opening_bal,sa_bd_gross_npa_closing_bal,sa_bd_net_npa_opening_bal,sa_bd_net_npa_closing_bal,sa_bd_prov_for_npa,sa_total_gross_restruc_acs,sa_bd_non_corp_debt_restruct,sa_bd_corp_debt_restruct,sa_bd_total_no_borrower_restuct_acs,sa_bd_total_no_borrower_non_corp_debt_restruct,sa_bd_total_no_borrower_corp_debt_restruct,sa_bd_gross_npa_bank,sa_bd_gross_npa_rbi,sa_bd_divergence_gross_npa,sa_bd_net_npa_bank,sa_bd_net_npa_rbi,sa_bd_divergence_net_npa,sa_bd_credit_deposit_ratio,sa_net_int_margin,sa_bd_int_spread,sa_bd_avg_ret_on_adv,sa_bd_avg_cost_of_deposits,Year
H D F C BANK LTD.,PRIVATE,0.9924386,0.6294897,0.047259,0.604915,0.4234405,-0.199669,,88297,20180331,12,IGAAP,,8001259.8,,,,,12.25,14.82,13.25,1.57,1185403.7,14.82,8.86,1.68,3.6,1.3,0.4,1.93,2,58856.6,86069.7,18439.9,26010.2,60059.5,16120.7,15269.2,851.5,14,9,5,58856.6,79374.2,20517.6,18439.9,31023.6,12583.7,83,4.3,,,,2018
BANK OF INDIA,PUBLIC,0.9909297,0.691358,0.0644999,0.6510456,0.3789368,-0.1975972,,30148,20180331,12,IGAAP,83.09,,,,,,7.87,12.94,9.73,3.21,,12.94,5.73,0.86,1.08,23.46,8.28,-0.91,-1.23,531115.1,649230.6,256048.2,301185.3,325553.1,209630,160690,48930,26757,26729,28,520450,661020,140570,253050,350120,97070,,1.92,,7.15,4.58,2018
LAKSHMI VILAS BANK LTD.,PRIVATE,0.9958377,0.6243496,0.1498439,0.6118627,0.3829345,-0.1152432,,126471,20180331,12,IGAAP,,,,,,,8.05,9.81,8.05,1.76,,9.81,8.15,0.93,0.95,9.98,5.66,-1.57,-1.1,6401.9,26942.1,4184.2,14578.9,11690.5,6477.2,2722.7,3754.5,,13,6,6401.9,8096.9,1695,4184.2,4976.2,792,,2.38,,,,2018
KARNATAKA BANK LTD.,PRIVATE,0.9940829,0.852071,0.1198225,0.5769231,0.3106509,-0.10731,,117230,20180331,12,IGAAP,,,,,,,11.29,12.04,11.29,0.75,,12.04,8.23,1.45,2.23,4.92,2.96,0.49,0.4,15815.9,23760.7,9747.3,14005.1,9462.6,10464.3,10464.4,,205,205,,15815.9,26966.9,11151,9747.3,16425.9,6678.6,,,,,,2018
KOTAK MAHINDRA BANK LTD.,PRIVATE,0.9972299,0.4570637,0.0027701,0.5983379,0.4986149,0.0144541,,122573,20180331,12,IGAAP,,,,,,,17.53,18.22,17.56,0.66,,18.22,8.38,1.72,3.04,2.22,0.98,1.73,1.2,35786.1,38253.8,17180.7,16650.5,21603.3,6099.7,3402,2697.7,8172,8163,9,,,,,,,88.1,4.4,,,,2018
BANK OF BARODA,PUBLIC,0.9917355,0.547438,0.2066116,0.6624793,0.4938843,0.0185372,,30136,20180331,12,IGAAP,64.03,,,,,,9.23,12.13,10.46,1.67,,12.13,6.35,0.97,1.75,12.26,5.49,-0.34,-0.4,427187,564803.8,180801.8,234826.5,329979.6,257724,232116.8,25607.3,25925,25899,26,427187.1,456374.1,29187,180801.8,203413.8,22612,76.92,2.43,2.26,7.13,4.5,2018
R B L BANK LTD.,PRIVATE,0.9969136,0.6265432,0.0771605,0.6481481,0.4012346,0.1479301,,194815,20180331,12,IGAAP,,,,,,,13.61,15.33,13.61,1.72,,15.33,8.67,2.05,2.56,1.4,0.78,1.22,1.2,3568.4,5667.3,1899.4,3125.6,2541.7,301.1,301.1,,2,2,,,,,,,,,3.8,,,,2018
CANARA BANK,PUBLIC,0.9903252,0.7248052,0.1547971,0.6444504,0.4891158,0.2541792,,41860,20180331,12,IGAAP,72.55,,,,,,9.51,13.22,10.3,2.92,,13.22,7.34,1.24,1.7,11.84,7.48,-0.75,-0.7,342020.4,474684.7,216489.8,285424,187637.1,133543,70991.5,62551.5,4143,4100,43,342020.4,374505.4,32485,216489.8,234962.6,18472.8,,2.42,,8.12,5.6,2018
STATE BANK OF INDIA,PUBLIC,0.9922146,0.671064,0.0700692,0.6621972,0.4788063,0.2750846,,236328,20180331,12,IGAAP,58.03,,12.74,10.02,,,9.68,12.6,10.36,2.24,,12.6,6.37,1.29,1.72,10.91,5.73,-0.19,-0.243,1123429.9,2234274.6,582773.8,1108547,1125727.6,588092.3,417313.4,170779,2324,2240,84,1123429.9,1355821.2,232391.3,582773.8,757958.5,175184.7,,,,-0.19,,2018
BANK OF MAHARASHTRA,PUBLIC,0.9886827,0.8841105,0.0887279,0.6138524,0.4979629,0.447806,Q3,30153,20180331,12,IGAAP,87.01,,,,,,8.97,11.01,9.01,2,,11.01,7.03,0.95,1.39,19.48,11.24,-0.73,-1.181,171887.1,184332.3,113311.9,96411.9,86623.4,44120.3,26432.1,17688.3,18484,18462,22,171887.1,174223.1,2336,112295.6,113384.5,1088.9,68.1,2.32,,,5.31,2018
INDIAN OVERSEAS BANK,PUBLIC,0.9907544,0.8210059,0.1198225,0.6420118,0.4992604,0.5377218,,98918,20180331,12,IGAAP,89.74,,,,,,6.39,9.25,7.17,2.09,,9.25,7.26,1.52,1.47,25.28,15.33,-2.33,-2.2,350982.6,381801.5,197493.2,203996.6,173337.8,156022.9,109479.2,46543.7,245,213,32,350982.5,375776.5,24794,197493.3,222287.3,24794,,2.19,,7.91,5.49,2018
CITY UNION BANK LTD.,PRIVATE,0.9965398,0.5813149,0.0865052,0.6643598,0.5259515,0.5623718,,48177,20180331,12,IGAAP,,,,,,,13.92,16.22,15.79,0.43,,16.22,9.21,1.44,3.27,3.03,1.7,1.6,1.1,6819.8,8565.5,4083.4,4747.8,3771.8,1530.2,847.5,682.7,21,20,1,,,,,,,,4.42,,11.46,6.29,2018
CORPORATION BANK,PUBLIC,0.9971301,0.6935587,0.1151148,0.6371174,0.4770408,0.5838463,,51380,20180331,12,IGAAP,79.87,,,,,,5.68,9.23,7.27,1.96,,9.23,7.24,0.95,1.62,17.35,11.74,-1.67,-2.2,170452.2,222134.4,116921.8,140770.2,79296.8,109989.9,61719,48270.9,392,339,53,170452.2,222323.2,51871,116921.8,145521.8,28600,65.39,2.32,,8.91,5.74,2018
DHANLAXMI BANK LTD.,PRIVATE,0.9946461,0.928019,0.005354,0.6543724,0.379536,0.6162784,,59594,20180331,12,IGAAP,,59585.7,,,,,10.6,13.87,10.6,3.27,8264.4,13.87,8.05,0.81,1.16,7.35,3.19,-0.2,-0.1,3156,4693.1,1664.8,1946.5,2743,766.9,553.1,213.8,76,73,3,3156,3400,244,1664.8,1856.8,192,,,,,,2018
UNION BANK OF INDIA,PUBLIC,0.9955556,0.7155555,0.1877778,0.6394445,0.4994445,0.6212017,,257360,20180331,12,IGAAP,67.43,2863150,,,,,7.56,11.46,9.03,2.43,,11.46,6.71,1.02,1.56,15.73,8.42,-1.07,-1.4,337122.8,493699.3,188321,243263.1,250436.3,140897.2,96602.5,44294.6,6852,6818,34,337120,365620,28500,188320,206670,18350,78.18,,1.91,7.67,5.66,2018
INDIAN BANK,PUBLIC,0.9959258,0.6939792,0.1158895,0.6609325,0.488909,0.6212214,,98668,20180331,12,IGAAP,81.87,,,,,,11,12.55,11.33,1.22,,12.55,7.26,1.02,2.12,7.37,3.81,0.53,0.6,98651.4,119901.4,56065.7,59595.6,54982.3,61057.6,52365.3,8692.3,7828,7819,9,98651.4,104089.4,5438,56065.7,56196,130.3,78.12,2.9,,8.5,5.4,2018
CENTRAL BANK OF INDIA,PUBLIC,0.9907544,0.8369083,0.1068787,0.6397929,0.5184911,0.6437467,,43461,20180331,12,IGAAP,86.4,,,,,,7.01,9.04,7.01,2.03,,9.04,7.59,0.83,0.86,21.48,11.1,-1.61,-1.386,272513.3,381307,142178.3,173778.7,196013.1,82362.6,45649.7,36712.9,5557,5524,33,272510,289108,16598,142180,155148,12968,60.2,2.47,,8.31,5.53,2018
ORIENTAL BANK OF COMMERCE,PUBLIC,0.9954036,0.9169779,0.0183855,0.6613042,0.3792014,0.6633046,,164888,20180331,12,IGAAP,77.23,,,,,,7.46,10.5,7.61,2.89,,10.5,6.84,1.1,1.46,17.63,10.48,-2.31,-2.672,228592.7,261336.4,141178.3,142828.8,117535.8,95893,62377,33516.1,545,516,29,228592.7,238271.7,9679,141178.3,133920.3,-7258,71.5,2.73,,,5.67,2018
SOUTH INDIAN BANK LTD.,PRIVATE,0.9981096,0.879017,0.1531191,0.63138,0.3856332,0.6976999,Q4,231715,20180331,12,IGAAP,,480815.3,12.7,10.41,,,10.41,12.7,10.41,2.28,61040.5,12.7,7.97,1.08,1.91,3.59,2.6,0.43,0.4,11490.1,19803,6745.6,14158,5410.6,2966.3,2516.5,449.8,13,10,3,11490.1,11574,83.9,6745.6,6594.3,-151.3,,,,,,2018
ALLAHABAD BANK,PUBLIC,0.9930556,0.8263889,0.1736111,0.6466666,0.4977778,0.7179748,,11019,20180331,12,IGAAP,64.78,,8.69,6.69,,,5.57,8.69,6.69,2,,8.69,6.84,1.13,1.44,15.96,8.04,-1.96,-2,206878.3,265627.9,134335.1,122291.3,143081.1,9450.2,9450.2,,6664,8,,206878.3,217656.3,10778,134335.1,143589.1,9254,78.64,2.2,,7.61,5.33,2018
SYNDICATE BANK,PUBLIC,0.9947107,0.7408264,0.174876,0.6519008,0.5170248,0.7285089,,245437,20180331,12,IGAAP,73.07,,,,,,7.56,12.24,9.41,2.83,,12.24,7.06,0.91,1.25,11.53,6.28,-1.05,-0.992,176093.1,257586,104109.8,132394.6,123413,58499.6,48345.5,10154.1,121225,121211,14,176093.1,199460.1,23367,104109.8,121351.8,17242,81.88,2.44,,7.51,5.1,2018
PUNJAB NATIONAL BANK,PUBLIC,0.9954036,0.7905774,0.0563057,0.6630279,0.4929618,0.8294204,,183861,20180331,12,IGAAP,62.25,,,,,,5.95,9.2,7.12,2.08,,9.2,6.26,1.16,1.34,18.38,11.24,-1.6,-1.7,553704.5,866200.5,327021,486842.9,376118.2,125063.2,80223.5,44839.9,973,930,43,553704.5,575775.5,22071,327021,341170,14149,67.54,2.16,,7.49,4.96,2018
ANDHRA BANK,PUBLIC,0.9938485,0.8612072,0.1860823,0.626682,0.5190312,0.8761219,,15214,20180331,12,IGAAP,77.99,,11.42,7.26,,,5.61,11,7.44,3.56,,11,7.71,1.02,2.3,17.09,8.48,-1.46,-1.7,176699.8,281243.6,103548.1,126368.7,154567.8,17111.9,16497,614.9,27,25,2,176699.8,183707.8,7008,103548.1,107343.1,3795,79.1,3.31,,8.84,5.57,2018
JAMMU & KASHMIR BANK LTD.,PRIVATE,0.9975,0.774375,0.050625,0.63375,0.56375,1.12878,,107160,20180331,12,IGAAP,,,,,,,9.24,11.42,9.24,2.18,,11.42,8.06,0.6,1.68,9.96,4.9,0.25,0.2,600010.1,60067,24253.7,27911.2,31122.6,61330,56404.2,4925.8,39968,39953,15,60000.1,69090.1,9090,24253.7,32131.8,7878.1,46.84,,,8.77,5.01,2018
UCO BANK,PUBLIC,0.9962516,0.8933778,0.093711,0.6297376,0.5364431,1.195034,,256249,20180331,12,IGAAP,84.23,,,,,,8.23,10.94,8.94,2,,10.94,5.93,0.47,0.56,24.64,13.1,-1.88,-1.848,225409.5,305499.2,107033.9,140820.7,150906.1,97098.6,55600.4,41112.3,4102,4061,41,225409.5,239600.6,14191.1,107033.9,113034.8,6000.9,68.18,1.32,,8.69,5.37,2018
PUNJAB & SIND BANK,PUBLIC,0.9964,0.9216,0.0144,0.6616,0.4967999,1.21035,,183764,20180331,12,IGAAP,85.56,,11.27,8.87,130066.4,57299.5,8.37,11.25,9.85,1.4,,11.25,7.42,0.54,1.07,,6.93,-0.69,-0.008,62975.9,78016.5,43750.8,46078.7,31541.8,6367.4,6367.4,,13,13,,62975.9,68402.9,5427,43750.8,47002.8,3252,,,,8.8,5.93,2018
