Unique_Degrees,"Finance/Business Oriented (Yes/No,1/0)"
B.TECH.-BIO.CHEMICAL & BIO.TECHNOLOGY ENGINEERING,0
EXECUTIVE-GENERAL MANAGEMENT,1
P.G.DIPLOMA,
J.A.I.I.B. (JUNIOR ASSOCIATE OF INDIAN INSTITUTE OF BANKING),1
C.M.A.(CERTIFIED MANAGEMENT ACCOUNTANT),1
DIPLOMA-MANAGEMENT STUDIES,1
P.G.DIPLOMA-MANAGEMENT SCIENCE,1
M.A.-PUBLIC ADMINISTRATION,1
GRADUATE-SIX SIGMA BLACK BELT,1
M.B.A.-FINANCE,1
M.PHIL.-INTERNATIONAL RELATIONS,0
B.SC.-STATISTICS,0
DIPLOMA-TREASURY,0
DIPLOMA-SYSTEMS MANAGEMENT,0
GRADUATE-POLYMER SCIENCE,0
D.S.M.,
DIPLOMA-INDUSTRIAL MEDICINE,0
EXECUTIVE M.B.A.-OWNER,1
CERTIFICATE-INDUSTRIAL FINANCE,1
M.A.-POLITICAL SCIENCE,0
M.B.A.-INTERNATIONAL BANKING & FINANCE,1
M.B.B.S.,0
P.G.-FINANCIAL MANAGEMENT,1
BACHELORS-ECONOMICS,1
B.E.(HONS.),0
PH.D.-ECONOMICS,1
M.A.-PSYCHOLOGY,0
DIPLOMA-HUMAN RESOURCE MANAGEMENT,1
MEMBER,
PH.D.-BUSINESS ADMINISTRATION,1
MASTERS-INTERNATIONAL BUSINESS LAW,1
P.G.-SCIENCE,0
P.G.DIPLOMA-SOFTWARE TECHNOLOGY,0
B.A.-SPECIAL,
B.SC.-MECHANICAL,0
PH.D.-MARKETING,1
S.S.L.C.(SECONDARY SCHOOL LEAVING CERTIFICATE),0
B.A.(HONS.)-SOCIOLOGY,0
B.E.-METALLURGICAL,0
GRADUATE-EXECUTIVE DEVELOPMENT PROGRAMME,0
M.SC.-AGRICULTURAL PHYSICS,0
M.SC.-MANAGEMENT & IMPLEMENTATION OF DEVELOPMENT PROJECTS,1
GRADUATE-BUSINESS MANAGEMENT,1
PH.D.-FELLOW,
EXECUTIVE-MANAGEMENT,1
PH.D.,
M.A.-PHILOSOPHY,0
FELLOW-MANAGEMENT,1
P.G.-STATISTICS,0
M.SC.-ECONOMICS,1
B.SC.-CHEMISTRY,0
MASTERS-INTERNATIONAL DEVELOPMENT POLICY,0
D.B.A.,
GRADUATE-SECURITIES LAW,0
PH.D.-YOGA,0
GRADUATE-AGRICULTURE,0
B.E.(HONS.)-ELECTRICAL,0
MASTERS-ELECTRICAL,0
B.SC.(HONS.)-MATHEMATICS,0
GRADUATE-BUSINESS ADMINISTRATION,1
MASTERS-PERSONNEL MANAGEMENT & INDUSTRIAL RELATIONS,1
CERTIFIED MEMBER,
GRADUATE,
GRADUATE-BANKING & FINANCE,1
M.S.-STATISTICS,0
B.SC.-MICROBIOLOGY,0
MASTERS-ANCIENT INDIAN CULTURE,0
B.TECH.-METALLURGY,0
DIPLOMA-COMPANY LAWS,0
M.D.,
DIPLOMA-FRENCH,0
M.A.,0
MATRICULATION,0
I.D.A.S.,
PH.D.-ECONOMICS-AGRICULTURE,1
D.C.B.P.,
DIPLOMA-DEVELOPMENT POLICY,0
B.A.(HONS.)-HISTORY & SOCIAL SCIENCE,0
P.G.-MARKETING MANAGEMENT,1
MASTERS-PHILOSOPHY,0
DIPLOMA-BANK MANAGEMENT,1
M.E.,0
LEADERSHIP DEVELOPMENT PROGRAM,0
MASTERS-MARKETING MANAGEMENT,1
B.S.-ECONOMICS,1
