Company,Sector,gen_index,educ_index,exp_index,ten_index,age_index,z_total_index,Quartiles,sa_finance1_cocode,sa_finance1_year,sa_ann_rep_months,sa_fs_format,sa_pct_shares_hld_govt,sa_bd_tot_risk_wt_ast_and_contingencies,sa_bsl_cap_adeq_ratio,sa_bsl_t1_cap_adeq_ratio,sa_bsl_tot_elg_cap,sa_bsl_tier1_elg_cap,sa_bd_bsl3_cet1_cap_ratio,sa_bd_bsl3_cap_adeq_ratio,sa_bd_bsl3_t1_cap_adeq_ratio,sa_bd_bsl3_t2_cap_adeq_ratio,sa_bd_bsl3_cap_adeq_amt,sa_bd_cap_adeq_ratio_series,sa_bd_int_inc_pct_working_funds,sa_bd_non_int_inc_pct_working_funds,sa_bd_op_profit_pct_working_funds,sa_gnpa_advance,sa_bd_nnpa_pct_net_adv,sa_bd_return_on_ast,sa_bd_profit_per_employee,sa_bd_gross_npa_opening_bal,sa_bd_gross_npa_closing_bal,sa_bd_net_npa_opening_bal,sa_bd_net_npa_closing_bal,sa_bd_prov_for_npa,sa_total_gross_restruc_acs,sa_bd_non_corp_debt_restruct,sa_bd_corp_debt_restruct,sa_bd_total_no_borrower_restuct_acs,sa_bd_total_no_borrower_non_corp_debt_restruct,sa_bd_total_no_borrower_corp_debt_restruct,sa_bd_gross_npa_bank,sa_bd_gross_npa_rbi,sa_bd_divergence_gross_npa,sa_bd_net_npa_bank,sa_bd_net_npa_rbi,sa_bd_divergence_net_npa,sa_bd_credit_deposit_ratio,sa_net_int_margin,sa_bd_int_spread,sa_bd_avg_ret_on_adv,sa_bd_avg_cost_of_deposits,Year
BANK OF INDIA,PUBLIC,0.99,0.7155555,0.0544444,0.6594445,0.3911111,-0.2918027,,30148,20170331,12,IGAAP,73.72,,,,,,7.17,12.14,8.9,3.24,,12.14,5.99,1.03,1.48,19.32,6.9,-0.24,0,506389.8,531115.1,281073.4,256048.2,254489.6,222520,145610,76910,36629,36568,61,,,,,,,,2.2,,7.98,4.84,2017
CITY UNION BANK LTD.,PRIVATE,0.994898,0.5867347,0.127551,0.6224489,0.4387755,-0.2179978,,48177,20170331,12,IGAAP,,,,,,,14.1,15.83,15.35,0.48,,15.83,9.47,1.44,2.97,2.83,1.71,1.5,1.1,5119.8,6819.8,3231.5,4083.4,2703.1,2511.6,1717.4,794.2,34,32,2,5119.8,5944.8,825,3231.5,3900.5,669,,4.17,,12.1,6.82,2017
I D B I BANK LTD.,PRIVATE,0.9951325,0.411033,0.1384532,0.6598161,0.4997296,-0.1473105,,100283,20170331,12,IGAAP,73.98,,,,,,5.64,10.7,7.81,2.89,,10.7,7.39,1.01,1.22,20.62,13.21,1.37,-2.8,248750.7,447525.9,146433.9,252058,195467.9,235898.8,170063.8,65835,316,255,61,248750.7,316916.7,68166,146433.9,193989.9,47556,,,,,,2017
KOTAK MAHINDRA BANK LTD.,PRIVATE,0.9972299,0.4570637,0.0027701,0.6315789,0.4986149,-0.041243,,122573,20170331,12,IGAAP,,,,,,,15.86,16.77,15.9,0.87,,16.77,8.97,1.76,3.03,2.59,1.26,1.73,1.1,28381.1,35786.1,12619.6,17180.7,18605.4,8534.3,2907.6,5626.7,5709,5699,10,,,,,,,86.4,4.5,,,,2017
R B L BANK LTD.,PRIVATE,0.9969136,0.6265432,0.0771605,0.6481481,0.4012346,-0.0405723,,194815,20170331,12,IGAAP,,371625.2,,,,,11.39,13.72,11.39,2.33,50974.7,13.72,8.99,1.83,2.23,1.2,0.64,1.08,0.9,2080.5,3568.4,1244.4,1899.4,1669,428.2,389.6,38.6,5,4,1,2080.5,5473.5,3393,1244.4,3263.4,2019,,3.29,,,,2017
BANK OF BARODA,PUBLIC,0.994304,0.5639017,0.2224991,0.6621574,0.4834461,0.0851359,,30136,20170331,12,IGAAP,59.24,,,,,,8.98,12.24,9.93,2.31,,12.24,6.27,1,1.63,11.73,4.72,0.2,0.3,405210.4,427187,194064.6,180801.8,246385.2,256751.5,215123.4,41628.1,37949,37908,41,,,,,,,71.86,2.19,2.01,7.27,4.78,2017
CANARA BANK,PUBLIC,0.99,0.7155555,0.16,0.6627778,0.4727778,0.0992888,,41860,20170331,12,IGAAP,66.3,,,,,,8.92,12.86,9.77,3.09,,12.86,7.35,1.34,1.58,9.63,6.33,0.2,0.2,316378.3,342020.4,208329.1,216489.8,124189.3,137064.6,79367.3,57697.2,7746,7696,50,316378.3,321451.3,5073,208329.1,208630.6,301.5,,2.23,,8.99,6.25,2017
INDIAN BANK,PUBLIC,0.9953513,0.7267562,0.116219,0.641529,0.4493802,0.2745704,Q3,98668,20170331,12,IGAAP,82.1,,,,,,11.82,13.64,12.2,1.44,,13.64,7.67,1.06,1.91,7.47,4.39,0.67,0.7,88270.4,98651.4,54194,56065.7,37889.2,73160.8,60000.2,13160.6,12308,11032,12,,,,,,,72.4,2.59,,9.17,6.03,2017
INDIAN OVERSEAS BANK,PUBLIC,0.9895877,0.8163265,0.1349438,0.6622241,0.4748021,0.3100426,,98918,20170331,12,IGAAP,79.56,,,,,,7.58,10.5,8.21,2.28,,10.5,7.77,1.33,1.44,22.39,13.99,-1.21,-1.1,300486.3,350982.6,192125.8,197493.2,141499.7,145246.4,91489.9,53756.5,294,254,40,300486.3,308661.3,8175,192125.7,194929.7,2804,,2.03,,8.92,6.17,2017
CORPORATION BANK,PUBLIC,0.9969136,0.7115912,0.1111111,0.6577504,0.4314129,0.339658,,51380,20170331,12,IGAAP,70.76,,11.9,846,,,7.99,11.32,8.9,2.42,,11.32,8.11,1.29,1.85,11.7,8.33,0.23,0.3,145442.5,170452.2,91601.4,116921.8,51883.4,123226.2,73176.6,50049.6,464,405,59,145442.5,164980.5,19538,91601.4,104061.4,12460,63.64,2.12,1.86,9.85,6.74,2017
STATE BANK OF INDIA,PUBLIC,0.9938965,0.6657715,0.0705566,0.6625977,0.5,0.3702421,,236328,20170331,12,IGAAP,61.23,,13.56,10.27,,,9.82,13.11,10.35,2.76,,13.11,6.86,1.39,1.99,6.9,3.71,0.41,0.5,981728,1123429.9,558070.2,582773.8,540656.1,659416.4,496866.5,248250.6,2698,2598,100,,,,,,,,2.84,,0.41,,2017
KARNATAKA BANK LTD.,PRIVATE,0.9982639,0.8888889,0.1111111,0.6215278,0.375,0.4052576,,117230,20170331,12,IGAAP,,,,,,,12.21,13.3,12.21,1.09,,13.3,8.51,1.33,1.63,4.21,2.64,0.74,0.6,11804,15815.9,7954.7,9747.3,5816,13651.5,13069.9,581.6,438,435,3,,,,,,,,,,,,2017
ORIENTAL BANK OF COMMERCE,PUBLIC,0.9950754,0.9212065,0.0150816,0.6666666,0.3705755,0.4617727,,164888,20170331,12,IGAAP,58.38,,,,,,7.59,11.64,8.88,2.76,,11.64,7.66,1.15,1.73,13.73,8.96,-0.46,-0.508,147017.8,228592.7,99321.5,141178.3,87357.7,176503.4,109384.5,67118.9,39205,39147,58,103714.3,117211.3,13497,103714.3,117211.3,13497,75.92,2.42,,,6.33,2017
CENTRAL BANK OF INDIA,PUBLIC,0.9895877,0.8334028,0.1203665,0.665556,0.5164515,0.5565895,,43461,20170331,12,IGAAP,81.28,,11.28,7.16,194700,123580,8.62,10.94,8.62,2.32,,10.94,8.1,0.94,1.01,17.81,10.2,-0.8,-0.649,227210,272510,132420,142180,118625.3,134716.2,71327.4,63385.9,24801,24754,47,227208.8,248180.3,20971.5,132418,146443.5,14025.5,51.57,2.51,,9.01,6.2,2017
SYNDICATE BANK,PUBLIC,0.9940829,0.7303994,0.1956361,0.6619822,0.5140532,0.5929756,,245437,20170331,12,IGAAP,72.92,,,,,,7.5,12.03,9.26,2.77,,12.03,7.6,1.14,1.4,8.5,5.21,0.12,0.11,138321.6,176093.1,90148.7,104109.8,70497.4,72525.8,54109.4,18416.4,109657,109634,23,138321.6,144862.6,6541,90148.7,92422.8,2274.1,79.47,2.37,,8.34,5.86,2017
ALLAHABAD BANK,PUBLIC,0.9950754,0.8076331,0.1772853,0.6568174,0.473992,0.6283921,,11019,20170331,12,IGAAP,65.92,,10.9,7.12,,,8.2,11.45,8.49,2.96,,11.45,7.57,1.13,1.66,13.09,8.92,-0.13,-1.3,153845.7,206878.3,102925.1,134335.1,72543.2,46556.1,30886.1,15670,3593,3578,15,153845.7,163575.7,9730,102925.1,110074.3,7149.2,79.03,2.54,,8.41,,2017
DHANLAXMI BANK LTD.,PRIVATE,0.9972299,0.9307479,0.0062327,0.6495845,0.400277,0.6827525,Q4,59594,20170331,12,IGAAP,,59329.6,,,,,9.01,10.26,9.01,1.25,6086.9,10.26,8.46,0.86,0.73,4.78,2.58,0.1,0.001,4589.2,3156,1931.9,1664.8,1487.9,863.9,565.1,298.9,44,41,3,,,,,,,,,,,,2017
BANK OF MAHARASHTRA,PUBLIC,0.9924386,0.879017,0.0926276,0.6625709,0.4848771,0.6933236,,30153,20170331,12,IGAAP,81.61,,,,,,7.28,11.18,9.01,2.17,,11.18,7.55,0.94,1.14,16.93,11.76,-0.86,-1.058,103858.5,171887.1,69193.3,112295.6,57948.5,67215.7,42461.6,24754,37745,37720,25,103858.5,134194.5,30336,68320.3,98656.3,30336,73.02,2.16,,,6.05,2017
UNION BANK OF INDIA,PUBLIC,0.9971301,0.731824,0.1992985,0.661352,0.4942602,0.7066451,,257360,20170331,12,IGAAP,63.44,,12.91,9.35,,,7.71,11.79,9.02,2.77,,11.79,7.6,1.16,1.73,,6.57,0.13,0.2,241708.9,337122.8,140259.4,188321,148801.7,162089.4,90469.4,71620,34879,34833,46,,,,,,,81.45,,2.07,8.72,6.28,2017
PUNJAB NATIONAL BANK,PUBLIC,0.9947107,0.8095868,0.0476033,0.6624793,0.4958677,0.7360474,,183861,20170331,12,IGAAP,65.01,,12.33,8.41,536126.2,365760.6,7.87,11.66,8.91,2.75,,11.66,6.74,1.28,2.08,12.53,7.81,0.19,0.2,558183.3,553704.5,354225.6,327021,220434.9,191098.2,99079,92019.3,190,132,58,558183.3,559558.6,1375.3,354225.6,347995.3,-6230.3,67.47,2.38,,8.29,5.33,2017
SOUTH INDIAN BANK LTD.,PRIVATE,0.9979339,0.8677686,0.1673554,0.6157025,0.4958677,0.8618174,,231715,20170331,12,IGAAP,,429177.1,12.37,10.88,,,10.88,12.37,10.88,1.49,53067.9,12.37,8.5,1.04,1.77,2.45,1.45,0.57,0.5,15623.6,11490.1,11852.6,6745.6,4510,5709.7,3027.2,2682.5,17,13,4,15623.6,21274.3,5650.7,11852.6,15643.9,3791.3,,,,,,2017
ANDHRA BANK,PUBLIC,0.9960938,0.8888889,0.1914063,0.6432291,0.4939235,0.9099861,,15214,20170331,12,IGAAP,61.26,,12.69,8.99,,,7.69,12.38,9.17,3.21,,12.38,8.38,1.07,2.04,12.25,7.57,0.08,0.1,114436.3,176699.8,60356.5,103548.1,73151.7,76917.5,61493.7,15423.8,96,83,13,114436.3,123205.2,8768.9,60356.5,67286.5,6930,73.82,3.07,,9.77,6.43,2017
PUNJAB & SIND BANK,PUBLIC,0.9953513,0.9483471,0.0129132,0.6404958,0.4907025,0.9690505,,183764,20170331,12,IGAAP,79.62,,11.57,8.4,118634.7,49906.3,9.14,11.05,9.14,1.91,,11.05,8.17,0.58,1.24,,7.51,0.2,0.2,42290.5,62975.9,29494.7,43750.8,18829.3,14866.4,14089.9,776.5,24,22,2,42290.5,47676.5,5386,29494.7,32541.7,3047,,,,9.73,6.73,2017
UCO BANK,PUBLIC,0.9959258,0.8981439,0.101856,0.6518787,0.5341784,1.14636,,256249,20170331,12,IGAAP,76.67,,,,,,7.64,10.93,8.27,2.66,,10.93,6.65,0.86,1.19,17.12,8.94,-0.75,-0.75,209077.3,225409.5,114435.9,107033.9,104526.2,132036.2,59471.8,72564.4,6277,6216,61,,,,,,,65.41,1.56,,9.6,5.83,2017
JAMMU & KASHMIR BANK LTD.,PRIVATE,0.999135,0.8538062,0.0423875,0.6591696,0.5536332,1.383878,,107160,20170331,12,IGAAP,,,,,,,8.7,10.8,8.7,2.1,,10.8,8.35,0.62,1.62,11.2,4.87,-2.04,-1.6,43686.1,60000.1,21639.5,24253.7,34252.9,63819.7,57401.2,6418.5,31944,31936,8,43686.2,62523.2,18837,21639.5,35302.5,13663,43.41,,,10.02,5.87,2017
